epoch,train_loss,val_loss,train_mae,val_mae,learning_rate
1,7.349547,6.437068,7.349547,6.437068,0.0001
2,6.285976,6.213181,6.285976,6.213181,0.0001
3,5.982371,5.734073,5.982371,5.734073,0.0001
4,5.734163,5.751128,5.734163,5.751128,0.0001
5,5.5437,5.555111,5.5437,5.555111,0.0001
6,5.363423,5.512106,5.363423,5.512106,0.0001
7,5.219828,5.643357,5.219828,5.643357,0.0001
8,5.081258,5.612665,5.081258,5.612665,0.0001
9,4.986651,5.399414,4.986651,5.399414,0.0001
10,4.86432,5.428065,4.86432,5.428065,0.0001
11,4.769219,5.356831,4.769219,5.356831,0.0001
12,4.681568,5.382381,4.681568,5.382381,0.0001
13,4.598696,5.408444,4.598696,5.408444,0.0001
14,4.514705,5.442839,4.514705,5.442839,5e-05
15,4.174798,5.303493,4.174798,5.303493,5e-05
16,4.017706,5.281226,4.017706,5.281226,5e-05
17,3.934469,5.389944,3.934469,5.389944,5e-05
18,3.847096,5.303989,3.847096,5.303989,5e-05
19,3.789334,5.330252,3.789334,5.330252,2.5e-05
20,3.607768,5.291378,3.607768,5.291378,2.5e-05
1,3.744971,5.247613,3.744971,5.247613,1e-05
2,3.637116,5.232049,3.637116,5.232049,1e-05
3,3.567503,5.240317,3.567503,5.240317,1e-05
4,3.505715,5.243465,3.505715,5.243465,1e-05
5,3.442504,5.239276,3.442504,5.239276,5e-06
6,3.372283,5.232746,3.372283,5.232746,5e-06
7,3.316743,5.228145,3.316743,5.228145,5e-06
8,3.271623,5.240917,3.271623,5.240917,5e-06
9,3.229086,5.242475,3.229086,5.242475,5e-06
10,3.178394,5.239161,3.178394,5.239161,2.5e-06
11,3.112637,5.241904,3.112637,5.241904,2.5e-06
12,3.057079,5.24136,3.057079,5.24136,2.5e-06
